kod,nazwa,aktualizacjaData,kodEPA,kodEVA,kodPOS,typ,wymianaAglomeracja,kodAglomeracji,biletMiejski
76,Koluszki,2026-05-25 04:00:02.663,5100047,5100024,47258,0,0,0,False
711,Koniecpol,2026-05-25 04:00:02.638,5100448,5100122,63073,0,0,0,False
79,Konin,2026-05-25 04:00:02.625,5100049,5100026,33100,0,0,0,False
401,Korsze,2026-05-25 04:00:02.638,5100168,5100123,10009,0,0,0,False
82,Kościan,2026-05-25 04:00:02.663,5100267,5100124,43406,0,0,0,False
80,Kostrzyn,2026-05-25 04:00:02.651,5100169,5100214,13003,0,0,0,False
81,Koszalin,2026-05-25 04:00:02.625,5100050,5100027,4408,0,0,0,False
509,Kowalewo Pom.,2026-05-25 04:00:02.638,5100230,5100125,20719,0,0,0,False
712,Kozłów,2026-05-25 04:00:02.638,5100450,5101911,64337,0,0,0,False
8184,Krajenka,2026-05-25 04:00:02.651,5100600,5101630,15537,0,0,0,False
3122,Kraków Batowice,2026-05-25 04:00:02.625,5100522,5101756,79236,0,0,10,False
0,Kraków (dowolna stacja),2024-04-17 06:00:03.507,0,5196001,0,1,0,10,False
85,Kraków Gł.,2025-06-23 04:00:03.091,5100051,5100028,80416,2,0,10,False
6702,Kraków Piastów,2026-05-25 04:00:02.676,5101209,5101779,120170,0,0,0,False
86,Kraków Płaszów,2025-06-23 04:00:03.145,5100170,5100240,79905,2,0,10,False
2121,Kraśnik,2026-05-25 04:00:02.663,5100861,5101576,51508,0,0,0,False
2120,Krasnystaw Miasto,2026-05-25 04:00:02.638,5101061,5101788,51177,0,0,0,False
87,Krosno,2026-05-25 04:00:02.625,5100231,5101770,83501,0,0,11,False
88,Krotoszyn,2026-05-25 04:00:02.638,5100455,5100307,44008,0,0,0,False
89,Krynica-Zdrój,2026-05-25 04:00:02.651,5100052,5100029,82487,0,0,0,False
4185,Krzepice,2026-05-25 04:00:02.625,5100686,5101753,71860,0,0,0,False
3145,Krzeszowice,2026-05-25 04:00:02.638,5100232,5101863,77701,0,0,0,False
90,Krzyż,2026-05-25 04:00:02.651,5100053,5100030,29108,0,0,0,False
91,Kudowa-Zdrój,2026-05-25 04:00:02.663,5100054,5100031,57554,0,0,0,False
94,Kutno,2026-05-25 04:00:02.638,5100055,5100032,32201,0,0,0,False
